Comment,Designator,Footprint,LCSC,Type
SMA Board Edge Bend ,AE2,ANT-TH_KH-SMA-K513-G,C411575,E
Boot Button - SKRKAEE020,"SW1,SW2",SW-SMD-2_2.9x3.9x1.7,C115357,E
ANT_Sel,SW3,SMD,C431540,E
Diode,D1,SOD-323,C124187,E
Power LED Blue,D2,LED_0603,C72041,B
Orange LED,D3,LED_0603,,
Green LED,D4,LED_0603,,
10k,"R1,R5",0603_Resistor,C25804,B
0R,"R2,R6",0603_Resistor,C21189,B
47K,R3,0603_Resistor,C25819,B
470R,R4,0603_Resistor,C23179,B
1.2K Resistor,"R7,R8,R9",0603_Resistor,C22765,B
BCM857BS,Q1,SOT65P210X110-6N,C105887,E
UMH3N,Q2,SMD:SOT-363,C62892,E
AO3401A,Q3,SOT95P240X115-3N,C15127,B
AMS1117,U1,SMD:SOT-223-3_TabPin2,C6186,B
CP2102,U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C6568,B
TYPE-C-31-M-12,USB1,TYPE-C-31_L8.94_W7.3,C165948,E
,C1,,,
,C3,,,
,C5,,,
,C6,,,
.1uF,"C2,C9",0603_Capacitor,C14663,B
10uF,"C4,C7,C8",0603_Capacitor,C96446,B
ESP32-PICO-D4,IC2,QFN-48_EP_7.0x7.0x0.5P,C193707,E
FerriteBead,FB1,R_1206_3216Metric,C1002,B
